seconds,minutes,temperature,log,real_k
2728,45.4666666666667,43.75,3.03,0.0288400111842443
2729,45.4833333333333,43.75,3.03,0.0288294432065294
2730,45.5,43.687,3.030,0.0288857129273137
2731,45.5166666666667,43.687,3.030,0.0288751359544366
2732,45.5333333333333,43.687,3.030,0.028864566724585
2733,45.55,43.687,3.030,0.0288540052292595
2734,45.5666666666667,43.687,3.030,0.028843451459973
2735,45.5833333333333,43.687,3.030,0.028832905408251
2736,45.6,43.687,3.030,0.028822367065631
2737,45.6166666666667,43.687,3.030,0.0288118364236632
2738,45.6333333333333,43.687,3.030,0.0288013134739103
2739,45.65,43.625,3.027,0.0288565496086076
2740,45.6666666666667,43.625,3.027,0.0288460180211592
2741,45.6833333333333,43.687,3.030,0.0287697906937491
2742,45.7,43.625,3.027,0.0288249778913116
2743,45.7166666666667,43.625,3.027,0.0288144693321095
2744,45.7333333333333,43.562,3.023,0.0288708609999962
2745,45.75,43.562,3.023,0.0288603433821455
2746,45.7666666666667,43.562,3.023,0.0288498334246138
2747,45.7833333333333,43.562,3.023,0.0288393311190351
2748,45.8,43.562,3.023,0.0288288364570558
2749,45.8166666666667,43.562,3.023,0.0288183494303344
2750,45.8333333333333,43.562,3.023,0.0288078700305416
2751,45.85,43.562,3.023,0.02879739824936
2752,45.8666666666667,43.562,3.023,0.0287869340784845
2753,45.8833333333333,43.562,3.023,0.028776477509622
2754,45.9,43.562,3.023,0.0287660285344914
2755,45.9166666666667,43.562,3.023,0.0287555871448237
2756,45.9333333333333,43.562,3.023,0.0287451533323619
2757,45.95,43.562,3.023,0.0287347270888609
2758,45.9666666666667,43.562,3.023,0.0287243084060875
2759,45.9833333333333,43.562,3.023,0.0287138972758208
2760,46,43.562,3.023,0.0287034936898512
2761,46.0166666666667,43.562,3.023,0.0286930976399817
2762,46.0333333333333,43.5,3.0,0.0287483099719621
2763,46.05,43.5,3.0,0.0287379052271297
2764,46.0666666666667,43.5,3.0,0.0287275080110562
2765,46.0833333333333,43.5,3.0,0.028717118315573
2766,46.1,43.5,3.0,0.0287067361325232
2767,46.1166666666667,43.5,3.0,0.0286963614537619
2768,46.1333333333333,43.5,3.0,0.0286859942711558
2769,46.15,43.437,3.017,0.0287423280244265
2770,46.1666666666667,43.437,3.017,0.028731951732721
2771,46.1833333333333,43.437,3.017,0.0287215829302191
2772,46.2,43.437,3.017,0.0287112216088157
2773,46.2166666666667,43.437,3.017,0.0287008677604172
